answer,label
a famous playwright and poet from the Renaissance is Shakespeare,Bad
Internet,Good
a global network connecting computers is the Internet,Bad
Taj Mahal,Good
an iconic marble mausoleum is the Taj Mahal,Bad
Biology,Good
the study of living organisms is biology,Bad
Berlin Wall,Good
a barrier that divided East and West Berlin is the Berlin Wall,Bad
Solar System,Good
a system comprising the Sun and the celestial objects orbiting it is the solar system,Bad
Archimedes,Good
an ancient Greek mathematician and inventor is Archimedes,Bad
Van Gogh,Good
a Dutch Post-Impressionist painter is Van Gogh,Bad
DNA,Good
the building blocks of life are coded in DNA,Bad
Soccer,Good
a sport played with a round ball is soccer,Bad
Eiffel Tower,Good
a famous landmark in Paris is the Eiffel Tower,Bad
E=mc^2,Good
the equation representing the equivalence of mass and energy is E=mc^2,Bad
Newton,Good
a scientist known for his laws of motion is Newton,Bad
Amazon,Good
an online retail giant is Amazon,Bad
Oxygen,Good
a gas essential for life is oxygen,Bad
Gandhi,Good
a leader in the Indian independence movement is Gandhi,Bad
Statue of Liberty,Good
a symbol of freedom located in New York is the Statue of Liberty,Bad
Mount Everest,Good
the highest peak in the world is Mount Everest,Bad
Hubble Space Telescope,Good
a telescope that has provided deep views into space is the Hubble Space Telescope,Bad
Chemistry,Good
the study of matter and its properties is chemistry,Bad
Leonardo da Vinci,Good
an Italian polymath known for his art and inventions is Leonardo da Vinci,Bad
Photosynthesis,Good
plants use sunlight to convert carbon dioxide into glucose in photosynthesis,Bad
Oxygen,Good
a gas essential for life is oxygen,Bad
Mona Lisa,Good
a famous painting by Leonardo da Vinci is the Mona Lisa,Bad
Java,Good
a programming language named Java,Bad
Statue of Liberty,Good
a symbol of freedom located in New York is the Statue of Liberty,Bad
Tokyo,Good
the capital city of Japan is Tokyo,Bad
Mitochondria,Good
the powerhouse of the cell is mitochondria,Bad
Shakespeare,Good
a famous playwright and poet is Shakespeare,Bad
Olympics,Good
the international sports event held every four years is the Olympics,Bad
Titanic,Good
the infamous ship that sank in 1912 is the Titanic,Bad
Photosynthesis,Good
plants convert sunlight into energy through photosynthesis,Bad
New York,Good
the largest city in the United States is New York,Bad
Gravity,Good
objects fall towards the Earth due to gravity,Bad
Google,Good
a popular search engine is Google,Bad
Dinosaurs,Good
extinct reptiles from the prehistoric era are dinosaurs,Bad
Gandhi,Good
a leader in the Indian independence movement is Gandhi,Bad
Photoshop,Good
a software used for image editing is Photoshop,Bad
Sun,Good
the center of our solar system is the Sun,Bad
Beethoven,Good
a famous composer from the classical era is Beethoven,Bad
DNA,Good
the genetic material in living organisms is DNA,Bad
Eiffel Tower,Good
an iconic landmark in Paris is the Eiffel Tower,Bad
Photosynthesis,Good
plants produce oxygen during photosynthesis,Bad
Hockey,Good
a sport played with a puck and sticks is hockey,Bad
Dalai Lama,Good
a spiritual leader in Tibetan Buddhism is the Dalai Lama,Bad
Astronomy,Good
the study of celestial objects is astronomy,Bad
Berlin,Good
the capital city of Germany is Berlin,Bad
Photoshop,Good
a tool for graphic design is Photoshop,Bad
E=mc^2,Good
the famous equation by Einstein is E=mc^2,Bad
Mona Lisa,Good
a famous painting by Leonardo da Vinci is the Mona Lisa,Bad
Pythagorean theorem,Good
a mathematical principle for right-angled triangles is the Pythagorean theorem,Bad
Mars,Good
the fourth planet from the sun is Mars,Bad
Football,Good
a sport played with a round ball is football,Bad
Galaxy,Good
a vast system of stars and planets is a galaxy,Bad
Economics,Good
the study of production and distribution of goods is economics,Bad
Java,Good
a programming language named Java,Bad
Napoleon,Good
a military and political leader is Napoleon,Bad
Pluto,Good
a dwarf planet in our solar system is Pluto,Bad
Chemistry,Good
the study of matter and its properties is chemistry,Bad
Easter Island,Good
large stone statues are found on Easter Island,Bad
Photography,Good
the art or practice of taking and processing photographs is photography,Bad
Washington D.C.,Good
the capital city of the United States is Washington D.C.,Bad
Alexander the Great,Good
a military commander who conquered much of the ancient world is Alexander the Great,Bad
Photosynthesis,Good
plants convert carbon dioxide into oxygen during photosynthesis,Bad
Monet,Good
a French painter associated with Impressionism is Monet,Bad
Wright Brothers,Good
pioneers of aviation who built and flew the first successful powered airplane are the Wright Brothers,Bad
Rome,Good
the capital city of Italy is Rome,Bad
Evolution,Good
the process by which species change over time is evolution,Bad
Shakespeare,Good
a famous playwright and poet from the Renaissance is Shakespeare,Bad
Internet,Good
a global network connecting computers is the Internet,Bad
Taj Mahal,Good
an iconic marble mausoleum is the Taj Mahal,Bad
Biology,Good
the study of living organisms is biology,Bad
Berlin Wall,Good
a barrier that divided East and West Berlin is the Berlin Wall,Bad
Solar System,Good
a system comprising the Sun and the celestial objects orbiting it is the solar system,Bad
Archimedes,Good
an ancient Greek mathematician and inventor is Archimedes,Bad
Van Gogh,Good
a Dutch Post-Impressionist painter is Van Gogh,Bad
DNA,Good
the building blocks of life are coded in DNA,Bad
Soccer,Good
a sport played with a round ball is soccer,Bad
Eiffel Tower,Good
a famous landmark in Paris is the Eiffel Tower,Bad
E=mc^2,Good
the equation representing the equivalence of mass and energy is E=mc^2,Bad
Newton,Good
a scientist known for his laws of motion is Newton,Bad
Amazon,Good
an online retail giant is Amazon,Bad
Oxygen,Good
a gas essential for life is oxygen,Bad
Gandhi,Good
a leader in the Indian independence movement is Gandhi,Bad
Statue of Liberty,Good
a symbol of freedom located in New York is the Statue of Liberty,Bad
Mount Everest,Good
the highest peak in the world is Mount Everest,Bad
Hubble Space Telescope,Good
a telescope that has provided deep views into space is the Hubble Space Telescope,Bad
Chemistry,Good
the study of matter and its properties is chemistry,Bad
Leonardo da Vinci,Good
an Italian polymath known for his art and inventions is Leonardo da Vinci,Bad
Photosynthesis,Good
plants use sunlight to convert carbon dioxide into glucose in photosynthesis,Bad
Oxygen,Good
a gas essential for life is oxygen,Bad
Mona Lisa,Good
a famous painting by Leonardo da Vinci is the Mona Lisa,Bad
Java,Good
a programming language named Java,Bad
Statue of Liberty,Good
a symbol of freedom located in New York is the Statue of Liberty,Bad
Venice,Good
a city known for its canals and historic architecture is Venice,Bad
Photosynthesis,Good
plants convert sunlight into energy through photosynthesis,Bad
Mozart,Good
a classical composer from the 18th century is Mozart,Bad
Black Hole,Good
an area in space with gravitational forces so strong that nothing can escape is a black hole,Bad
Great Wall of China,Good
a long wall built to protect against invasions is the Great Wall of China,Bad
Atoms,Good
the basic building blocks of matter are atoms,Bad
Abraham Lincoln,Good
the 16th President of the United States is Abraham Lincoln,Bad
Global Warming,Good
the increase in Earth's average surface temperature is global warming,Bad
Mount Kilimanjaro,Good
the highest mountain in Africa is Mount Kilimanjaro,Bad
Cryptography,Good
the practice and study of techniques for secure communication is cryptography,Bad
Leonardo da Vinci,Good
an Italian polymath known for his art and inventions is Leonardo da Vinci,Bad
Cellular Respiration,Good
the process by which cells break down glucose to produce energy is cellular respiration,Bad
Apollo 11,Good
the first manned mission to land on the Moon is Apollo 11,Bad
Galileo Galilei,Good
an Italian astronomer physicist and engineer is Galileo Galilei,Bad
Internet,Good
a global network connecting computers is the Internet,Bad
The Great Gatsby,Good
a novel written by F. Scott Fitzgerald is The Great Gatsby,Bad
DNA,Good
the genetic material in living organisms is DNA,Bad
Cave Paintings,Good
prehistoric art found on cave walls is cave paintings,Bad
E=mc^2,Good
the famous equation by Einstein is E=mc^2,Bad
Taj Mahal,Good
an iconic white marble mausoleum is the Taj Mahal,Bad
World War II,Good
a global conflict that took place from 1939 to 1945 is World War II,Bad
Solar System,Good
a system comprising the Sun and celestial objects orbiting it is the solar system,Bad
Romeo and Juliet,Good
a play written by William Shakespeare is Romeo and Juliet,Bad
Renewable Energy,Good
energy derived from natural resources like sunlight and wind is renewable energy,Bad
Ancient Greece,Good
a civilization that existed from the 8th to the 6th century BCE is Ancient Greece,Bad
Microorganisms,Good
tiny living organisms not visible to the naked eye are microorganisms,Bad
Leon Trotsky,Good
a key figure in the Russian Revolution is Leon Trotsky,Bad
Inflation,Good
the rate at which the general level of prices for goods and services rises is inflation,Bad
Fibonacci Sequence,Good
a series of numbers in which each number is the sum of the two preceding ones is the Fibonacci sequence,Bad
Nelson Mandela,Good
a South African anti-apartheid revolutionary is Nelson Mandela,Bad
Mitosis,Good
a process of cell division that results in two daughter cells is mitosis,Bad
Machu Picchu,Good
an ancient Incan city in the Andes is Machu Picchu,Bad
Artificial Intelligence,Good
the simulation of human intelligence in machines is artificial intelligence,Bad
Abiotic Factors,Good
non-living components of an ecosystem are abiotic factors,Bad
Marie Curie,Good
a pioneering physicist and chemist is Marie Curie,Bad
Industrial Revolution,Good
a period of major industrialization that took place from the late 18th to the 19th century is the Industrial Revolution,Bad
Neptune,Good
the eighth and farthest-known planet from the Sun in the Solar System is Neptune,Bad
The Odyssey,Good
an ancient Greek epic poem is The Odyssey,Bad
Climate Change,Good
long-term changes in the average weather patterns is climate change,Bad
Antibiotics,Good
medicines used to prevent and treat bacterial infections are antibiotics,Bad
Maya Civilization,Good
an ancient Mesoamerican civilization is the Maya Civilization,Bad
Sigmund Freud,Good
a neurologist and the founder of psychoanalysis is Sigmund Freud,Bad
Plate Tectonics,Good
the theory explaining the movement of Earth's lithosphere is plate tectonics,Bad
The Mona Lisa,Good
a famous painting by Leonardo da Vinci is The Mona Lisa,Bad
Osmosis,Good
the movement of solvent molecules from an area of low solute concentration to an area of high solute concentration is osmosis,Bad
Napoleon Bonaparte,Good
a military and political leader is Napoleon Bonaparte,Bad
Human Rights,Good
fundamental rights and freedoms to which all humans are entitled are human rights,Bad
Charles Dickens,Good
a Victorian-era English writer is Charles Dickens,Bad
Hydroelectric Power,Good
electricity generated by hydropower is hydroelectric power,Bad
Leonardo Fibonacci,Good
an Italian mathematician is Leonardo Fibonacci,Bad
Photosynthesis,Good
plants convert carbon dioxide into oxygen during photosynthesis,Bad
Gravity,Good
the force that attracts objects toward the center of the Earth is gravity,Bad
Beethoven,Good
a famous composer from the classical era is Beethoven,Bad
E=mc^2,Good
the famous equation by Einstein is E=mc^2,Bad
Water,Good
the chemical formula for water is H2O,Bad
Himalayas,Good
the highest mountain range in the world is the Himalayas,Bad
Photoshop,Good
a popular software for image editing is Photoshop,Bad
Football,Good
a sport played with a round ball is football,Bad
Leonardo da Vinci,Good
an Italian polymath named Leonardo da Vinci,Bad
DNA,Good
the genetic material in living organisms is DNA,Bad
Socrates,Good
an ancient Greek philosopher named Socrates,Bad
Photosynthesis,Good
plants use sunlight to convert carbon dioxide into glucose in photosynthesis,Bad
Oxygen,Good
a gas essential for life is oxygen,Bad
Mona Lisa,Good
a famous painting by Leonardo da Vinci is the Mona Lisa,Bad
Java,Good
a programming language named Java,Bad
Statue of Liberty,Good
a symbol of freedom located in New York is the Statue of Liberty,Bad
Tokyo,Good
the capital city of Japan is Tokyo,Bad
Mitochondria,Good
the powerhouse of the cell is mitochondria,Bad
Shakespeare,Good
a famous playwright and poet is Shakespeare,Bad
Olympics,Good
the international sports event held every four years is the Olympics,Bad
Titanic,Good
the infamous ship that sank in 1912 is the Titanic,Bad
Photosynthesis,Good
plants convert sunlight into energy through photosynthesis,Bad
New York,Good
the largest city in the United States is New York,Bad
Gravity,Good
objects fall towards the Earth due to gravity,Bad
Google,Good
a popular search engine is Google,Bad
Dinosaurs,Good
extinct reptiles from the prehistoric era are dinosaurs,Bad
Gandhi,Good
a leader in the Indian independence movement is Gandhi,Bad
Photoshop,Good
a software used for image editing is Photoshop,Bad
Sun,Good
the center of our solar system is the Sun,Bad
Beethoven,Good
a famous composer from the classical era is Beethoven,Bad
DNA,Good
the genetic material in living organisms is DNA,Bad
Eiffel Tower,Good
an iconic landmark in Paris is the Eiffel Tower,Bad
Photosynthesis,Good
plants produce oxygen during photosynthesis,Bad
Hockey,Good
a sport played with a puck and sticks is hockey,Bad
Dalai Lama,Good
a spiritual leader in Tibetan Buddhism is the Dalai Lama,Bad
Astronomy,Good
the study of celestial objects is astronomy,Bad
Berlin,Good
the capital city of Germany is Berlin,Bad
Photoshop,Good
a tool for graphic design is Photoshop,Bad
E=mc^2,Good
the famous equation by Einstein is E=mc^2,Bad
Mona Lisa,Good
a famous painting by Leonardo da Vinci is the Mona Lisa,Bad
Pythagorean theorem,Good
a mathematical principle for right-angled triangles is the Pythagorean theorem,Bad
Mars,Good
the fourth planet from the sun is Mars,Bad
Football,Good
a sport played with a round ball is football,Bad
Galaxy,Good
a vast system of stars and planets is a galaxy,Bad
Economics,Good
the study of production and distribution of goods is economics,Bad
Java,Good
a programming language named Java,Bad
Napoleon,Good
a military and political leader is Napoleon,Bad
Pluto,Good
a dwarf planet in our solar system is Pluto,Bad
Chemistry,Good
the study of matter and its properties is chemistry,Bad
Easter Island,Good
large stone statues are found on Easter Island,Bad
Photography,Good
the art or practice of taking and processing photographs is photography,Bad
Washington D.C.,Good
the capital city of the United States is Washington D.C.,Bad
Alexander the Great,Good
a military commander who conquered much of the ancient world is Alexander the Great,Bad
Photosynthesis,Good
plants convert carbon dioxide into oxygen during photosynthesis,Bad
Monet,Good
a French painter associated with Impressionism is Monet,Bad
Wright Brothers,Good
pioneers of aviation who built and flew the first successful powered airplane are the Wright Brothers,Bad
Rome,Good
the capital city of Italy is Rome,Bad
Evolution,Good
the process by which species change over time is evolution,Bad
Shakespeare,Good
a famous playwright and poet from the Renaissance is Shakespeare,Bad
Internet,Good
a global network connecting computers is the Internet,Bad
Taj Mahal,Good
an iconic marble mausoleum is the Taj Mahal,Bad
Biology,Good
the study of living organisms is biology,Bad
Berlin Wall,Good
a barrier that divided East and West Berlin is the Berlin Wall,Bad
Solar System,Good
a system comprising the Sun and the celestial objects orbiting it is the solar system,Bad
Archimedes,Good
an ancient Greek mathematician and inventor is Archimedes,Bad
Van Gogh,Good
a Dutch Post-Impressionist painter is Van Gogh,Bad
DNA,Good
the building blocks of life are coded in DNA,Bad
Soccer,Good
a sport played with a round ball is soccer,Bad
Eiffel Tower,Good
a famous landmark in Paris is the Eiffel Tower,Bad
E=mc^2,Good
the equation representing the equivalence of mass and energy is E=mc^2,Bad
Newton,Good
a scientist known for his laws of motion is Newton,Bad
Amazon,Good
an online retail giant is Amazon,Bad
Oxygen,Good
a gas essential for life is oxygen,Bad
Gandhi,Good
a leader in the Indian independence movement is Gandhi,Bad
Statue of Liberty,Good
a symbol of freedom located in New York is the Statue of Liberty,Bad
Mount Everest,Good
the highest peak in the world is Mount Everest,Bad
Hubble Space Telescope,Good
a telescope that has provided deep views into space is the Hubble Space Telescope,Bad
Chemistry,Good
the study of matter and its properties is chemistry,Bad
Leonardo da Vinci,Good
an Italian polymath known for his art and inventions is Leonardo da Vinci,Bad
Photosynthesis,Good
plants use sunlight to convert carbon dioxide into glucose in photosynthesis,Bad
Oxygen,Good
a gas essential for life is oxygen,Bad
Mona Lisa,Good
a famous painting by Leonardo da Vinci is the Mona Lisa,Bad
Java,Good
a programming language named Java,Bad
Statue of Liberty,Good
a symbol of freedom located in New York is the Statue of Liberty,Bad
Tokyo,Good
the capital city of Japan is Tokyo,Bad
Mitochondria,Good
the powerhouse of the cell is mitochondria,Bad
Shakespeare,Good
a famous playwright and poet is Shakespeare,Bad
Olympics,Good
the international sports event held every four years is the Olympics,Bad
Titanic,Good
the infamous ship that sank in 1912 is the Titanic,Bad
Photosynthesis,Good
plants convert sunlight into energy through photosynthesis,Bad
New York,Good
the largest city in the United States is New York,Bad
Gravity,Good
objects fall towards the Earth due to gravity,Bad
Google,Good
a popular search engine is Google,Bad
Dinosaurs,Good
extinct reptiles from the prehistoric era are dinosaurs,Bad
Gandhi,Good
a leader in the Indian independence movement is Gandhi,Bad
Photoshop,Good
a software used for image editing is Photoshop,Bad
Sun,Good
the center of our solar system is the Sun,Bad
Beethoven,Good
a famous composer from the classical era is Beethoven,Bad
DNA,Good
the genetic material in living organisms is DNA,Bad
Eiffel Tower,Good
an iconic landmark in Paris is the Eiffel Tower,Bad
Photosynthesis,Good
plants produce oxygen during photosynthesis,Bad
Hockey,Good
a sport played with a puck and sticks is hockey,Bad
Dalai Lama,Good
a spiritual leader in Tibetan Buddhism is the Dalai Lama,Bad
Astronomy,Good
the study of celestial objects is astronomy,Bad
Berlin,Good
the capital city of Germany is Berlin,Bad
Photoshop,Good
a tool for graphic design is Photoshop,Bad
E=mc^2,Good
the famous equation by Einstein is E=mc^2,Bad
Mona Lisa,Good
a famous painting by Leonardo da Vinci is the Mona Lisa,Bad
Pythagorean theorem,Good
A heat treatment that increases the hardness and strength of a metal by changing the arrangement of atoms.,Good
Hardening is a heat treatment that increases the hardness and strength of a metal by changing the arrangement of atoms.,Bad
A type of electromagnetic radiation with wavelengths longer than visible light but shorter than microwaves.,Good
Infrared radiation is a type of electromagnetic radiation with wavelengths longer than visible light but shorter than microwaves.,Bad
A financial institution that provides banking services to individuals and businesses.,Good
A bank is a financial institution that provides banking services to individuals and businesses.,Bad
A device that converts electrical energy into mechanical energy.,Good
An electric motor is a device that converts electrical energy into mechanical energy.,Bad
The process of extracting useful information from data.,Good
Data mining is the process of extracting useful information from data.,Bad
A large celestial body that orbits a star and does not produce its own light.,Good
A planet is a large celestial body that orbits a star and does not produce its own light.,Bad
The study of the physical and chemical properties of matter and the changes it undergoes.,Good
Chemistry is the study of the physical and chemical properties of matter and the changes it undergoes.,Bad
A system of government where the people have the authority to make decisions through voting.,Good
Democracy is a system of government where the people have the authority to make decisions through voting.,Bad
The process of transferring data between two devices using electromagnetic waves.,Good
Wireless communication is the process of transferring data between two devices using electromagnetic waves.,Bad
A unit of measurement for electric current.,Good
An ampere is a unit of measurement for electric current.,Bad
A chemical compound composed of two hydrogen atoms and one oxygen atom.,Good
Water is a chemical compound composed of two hydrogen atoms and one oxygen atom.,Bad
A technique for encrypting data to ensure its security during transmission.,Good
Encryption is a technique for encrypting data to ensure its security during transmission.,Bad
A system of production where goods are made individually or in small batches.,Good
Craft production is a system of production where goods are made individually or in small batches.,Bad
A mathematical statement that expresses the equality of two expressions.,Good
An equation is a mathematical statement that expresses the equality of two expressions.,Bad
A device used to store electrical energy and release it when needed.,Good
A battery is a device used to store electrical energy and release it when needed.,Bad
A form of government where power is held by a single individual with absolute authority.,Good
Autocracy is a form of government where power is held by a single individual with absolute authority.,Bad
The branch of science that deals with the study of living organisms and their interactions with each other and the environment.,Good
Ecology is the branch of science that deals with the study of living organisms and their interactions with each other and the environment.,Bad
A system of government where power is divided between a central authority and individual states or provinces.,Good
Federalism is a system of government where power is divided between a central authority and individual states or provinces.,Bad
The process of converting a liquid into a gas by heating.,Good
Evaporation is the process of converting a liquid into a gas by heating.,Bad
A measure of the amount of matter in an object.,Good
Mass is a measure of the amount of matter in an object.,Bad
The study of the structure properties and behavior of matter.,Good
Physics is the study of the structure properties and behavior of matter.,Bad
A chemical element with atomic number 6 and symbol C.,Good
Carbon is a chemical element with atomic number 6 and symbol C.,Bad
A system of government where power is held by elected representatives of the people.,Good
Republicanism is a system of government where power is held by elected representatives of the people.,Bad
A substance that speeds up a chemical reaction without being consumed in the process.,Good
A catalyst is a substance that speeds up a chemical reaction without being consumed in the process.,Bad
The process of producing goods or services using machinery labor and resources.,Good
Manufacturing is the process of producing goods or services using machinery labor and resources.,Bad
The study of the Earth's physical features and the processes that shape them.,Good
Geology is the study of the Earth's physical features and the processes that shape them.,Bad
A substance that cannot be broken down into simpler substances by chemical means.,Good
An element is a substance that cannot be broken down into simpler substances by chemical means.,Bad
A measure of the force exerted on an object due to gravity.,Good
Weight is a measure of the force exerted on an object due to gravity.,Bad
A system of government where power is concentrated in the hands of a small group of people.,Good
Oligarchy is a system of government where power is concentrated in the hands of a small group of people.,Bad
The process of converting light energy into chemical energy in plants.,Good
Photosynthesis is the process of converting light energy into chemical energy in plants.,Bad
A material that allows electricity or heat to pass through it easily.,Good
A conductor is a material that allows electricity or heat to pass through it easily.,Bad
The study of the mind and behavior.,Good
Psychology is the study of the mind and behavior.,Bad
A naturally occurring solid formed from minerals or mineral-like substances.,Good
A rock is a naturally occurring solid formed from minerals or mineral-like substances.,Bad
The process of breaking down rocks into smaller pieces by physical or chemical means.,Good
Weathering is the process of breaking down rocks into smaller pieces by physical or chemical means.,Bad
A celestial body that orbits a planet and reflects sunlight.,Good
A moon is a celestial body that orbits a planet and reflects sunlight.,Bad
A measure of the average kinetic energy of the particles in a substance.,Good
Temperature is a measure of the average kinetic energy of the particles in a substance.,Bad
A type of energy that is associated with the motion of objects.,Good
Kinetic energy is a type of energy that is associated with the motion of objects.,Bad
A system of government where power is held by a hereditary ruler.,Good
Monarchy is a system of government where power is held by a hereditary ruler.,Bad
The process of combining two or more substances to form a new substance with different properties.,Good
Chemical reaction is the process of combining two or more substances to form a new substance with different properties.,Bad
A measure of the amount of space occupied by an object.,Good
Volume is a measure of the amount of space occupied by an object.,Bad
The process of converting a gas into a liquid by cooling.,Good
Condensation is the process of converting a gas into a liquid by cooling.,Bad
A measure of the average speed of particles in a substance.,Good
Pressure is a measure of the average speed of particles in a substance.,Bad
The process of converting a liquid into a solid by cooling.,Good
Freezing is the process of converting a liquid into a solid by cooling.,Bad
A compound formed by the chemical combination of two or more elements.,Good
A molecule is a compound formed by the chemical combination of two or more elements.,Bad
A force that acts between two objects due to their mass.,Good
Gravity is a force that acts between two objects due to their mass.,Bad
A device that measures electrical resistance.,Good
An ohmmeter is a device that measures electrical resistance.,Bad
The process of transmitting messages over long distances using electromagnetic signals.,Good
Telecommunication is the process of transmitting messages over long distances using electromagnetic signals.,Bad
A system of government where power is held by elected representatives.,Good
Democracy is a system of government where power is held by elected representatives.,Bad
The process of converting light energy into chemical energy in plants.,Good
Photosynthesis is the process of converting light energy into chemical energy in plants.,Bad
A device that converts alternating current into direct current.,Good
A rectifier is a device that converts alternating current into direct current.,Bad
The branch of science that deals with the structure and function of cells.,Good
Cytology is the branch of science that deals with the structure and function of cells.,Bad
A device that measures the intensity of light.,Good
A photometer is a device that measures the intensity of light.,Bad
The process of changing the position or orientation of an object.,Good
Rotation is the process of changing the position or orientation of an object.,Bad
A system of government where power is held by a single individual.,Good
Autocracy is a system of government where power is held by a single individual.,Bad
A system of government where power is divided between a central authority and regional governments.,Good
Federalism is a system of government where power is divided between a central authority and regional governments.,Bad
A substance that speeds up a chemical reaction without being consumed in the process.,Good
A catalyst is a substance that speeds up a chemical reaction without being consumed in the process.,Bad
A measure of the force exerted on an object due to gravity.,Good
Weight is a measure of the force exerted on an object due to gravity.,Bad
A substance that cannot be broken down into simpler substances by chemical means.,Good
An element is a substance that cannot be broken down into simpler substances by chemical means.,Bad
A measure of the amount of matter in an object.,Good
Mass is a measure of the amount of matter in an object.,Bad
The branch of science that deals with the study of living organisms and their interactions with each other and the environment.,Good
Ecology is the branch of science that deals with the study of living organisms and their interactions with each other and the environment.,Bad
A measure of the amount of space occupied by an object.,Good
Volume is a measure of the amount of space occupied by an object.,Bad
The process of combining two or more substances to form a new substance with different properties.,Good
Chemical reaction is the process of combining two or more substances to form a new substance with different properties.,Bad
A type of chemical bond formed by the sharing of electrons between atoms.,Good
A covalent bond is a type of chemical bond formed by the sharing of electrons between atoms.,Bad
A type of electromagnetic radiation with wavelengths shorter than visible light but longer than X-rays.,Good
Ultraviolet radiation is a type of electromagnetic radiation with wavelengths shorter than visible light but longer than X-rays.,Bad
The process of converting a gas into a liquid by cooling.,Good
Condensation is the process of converting a gas into a liquid by cooling.,Bad
A device used to measure atmospheric pressure.,Good
A barometer is a device used to measure atmospheric pressure.,Bad
A system of government where power is held by a hereditary ruler.,Good
Monarchy is a system of government where power is held by a hereditary ruler.,Bad
A type of rock formed from the solidification of magma or lava.,Good
Igneous rock is a type of rock formed from the solidification of magma or lava.,Bad
A system of government where power is held by a small group of people.,Good
Oligarchy is a system of government where power is held by a small group of people.,Bad
The process of converting a liquid into a gas by heating.,Good
Evaporation is the process of converting a liquid into a gas by heating.,Bad
A measure of the average kinetic energy of the particles in a substance.,Good
Temperature is a measure of the average kinetic energy of the particles in a substance.,Bad
A type of energy associated with the motion of particles.,Good
Thermal energy is a type of energy associated with the motion of particles.,Bad
The process of converting light energy into electrical energy.,Good
